date,Open,High,Low,Close,Volume,symbol
2025-10-20,720.602270855396,733.1720358988009,719.5930841941394,731.5733032226562,8900200,META
2025-10-21,735.4202444049121,737.898203963144,728.156149137632,732.6724853515625,7647300,META
2025-10-22,733.2320185457676,739.9964601984101,723.4400167690366,732.8123168945312,8734500,META
2025-10-23,734.1012972282697,741.8049752352916,732.5025644943078,733.40185546875,9856000,META
2025-10-24,736.1895728454068,740.6060149267306,730.5542151922721,737.75830078125,9151300,META
2025-10-27,749.1189913399045,755.1341048828856,747.4004223192904,750.2081298828125,11321100,META
2025-10-28,752.0166693998259,757.7819868095911,744.9124781386814,750.82763671875,12193800,META
2025-10-29,754.1349412128479,758.5413205942342,741.9049255575367,751.0574340820312,26818600,META
2025-10-30,668.6047496805471,680.405123547836,649.6401745693712,665.9268798828125,88440100,META
2025-10-31,673.9603724515775,674.3400676801817,645.0439523217459,647.8216552734375,56953200,META
2025-11-03,655.4654426520216,658.792746197499,635.6615861365713,637.1903686523438,33003600,META
2025-11-04,627.528160823027,641.2170082918374,625.4998468710925,626.8087768554688,27356600,META
2025-11-05,631.7947143740674,641.7066132741587,626.0293969573662,635.4317626953125,20219900,META
2025-11-06,635.3318005623231,635.4817027165644,617.4963715076051,618.4356079101562,23628800,META
2025-11-07,615.9875913853423,621.6230097922952,600.7100736857968,621.203369140625,29946800,META
2025-11-10,630.5757412925083,634.4825281361091,617.606277436272,631.2451782226562,19245000,META
2025-11-11,627.4882640088713,629.0469903781388,618.8852946435945,626.5690307617188,13302200,META
2025-11-12,627.6181473129036,628.4774318700306,607.2747531328254,608.5137329101562,24493300,META
2025-11-13,612.5704066192014,617.1466913787408,602.5086055074847,609.3930053710938,20973800,META
2025-11-14,601.2995852054279,613.1799107961393,594.7149894844074,608.96337890625,20724100,META
2025-11-17,608.54364845602,611.1915132655756,594.914810553651,601.5194091796875,16501300,META
2025-11-18,591.1178778321469,603.1680476389258,583.3043040560937,597.2029418945312,25500600,META
2025-11-19,593.236120814011,594.8448550993957,580.7763124672824,589.8389282226562,24744700,META
2025-11-20,603.0082035639184,606.225550290049,582.8745995478572,588.669921875,20603000,META
2025-11-21,588.0204327318114,597.6325885375659,581.38582901572,593.7657470703125,21052600,META
2025-11-24,598.2320754408486,616.1974650582393,597.1429978306941,612.5504150390625,23554900,META
2025-11-25,623.4914651316196,636.5308177101258,617.7960982049689,635.7014770507812,25213000,META
2025-11-26,637.1703200291516,637.8397569399452,631.1152610365342,633.0936279296875,15209500,META
2025-11-28,635.5616748244524,647.5218911860414,634.9821303911365,647.4219970703125,11033200,META
2025-12-01,639.028785702615,644.7941029489796,637.2402664201815,640.3477172851562,13029900,META
2025-12-02,641.8165621493692,647.3420238521164,637.5500224020741,646.5726318359375,11640900,META
2025-12-03,643.8848130159247,648.3211970895987,637.0304181904862,639.0787353515625,11134300,META
2025-12-04,675.4491463216154,675.5490404402168,659.512131337801,660.990966796875,29874600,META
2025-12-05,663.4589092143041,674.1402004180294,661.8502358329807,672.8712158203125,21207900,META
2025-12-08,668.7945609027437,676.1585499822719,664.528021142878,666.256591796875,13161000,META
2025-12-09,663.2291308887899,663.9385132978894,652.807637338328,656.4246826171875,12997100,META
2025-12-10,649.4203737252112,653.9766553823684,642.8757234590145,649.6002197265625,16910900,META
2025-12-11,642.7657334383907,654.7460135009795,640.2777724038347,652.1781005859375,13056700,META
2025-12-12,649.2704855848336,710.4206277669183,638.0896015354143,643.7050170898438,14016900,META
2025-12-15,645.7000122070312,653.0,638.7000122070312,647.510009765625,15549100,META
